Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,Age_Group,Income_Tier,Churn_Risk,Customer_Value_Segment,Family_Status,Marital_Status_Label,Education_Level_Label,Tenure_Segment,Main_Product_Category,MntTotal_Calculated,Total_Campaigns_Accepted,Campaign_Engagement,First_Accepted_Campaign
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,63,2822,0,0,1,0,0,0,0,1,0,0,1529,1441,0,Elderly (>60),Medium Income,At-Risk (31-60d),Gold Spender,No Children,Single,Graduation,Long-term Member,Wines,1617,0,Never Accepted,No Acceptance
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,66,2272,0,0,1,0,0,0,0,1,0,0,21,15,0,Elderly (>60),Medium Income,At-Risk (31-60d),Bronze Spender,Large Family (>1 Kid),Single,Graduation,New Member,Wines,27,0,Never Accepted,No Acceptance
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,55,2471,0,0,0,1,0,0,0,1,0,0,734,692,0,Senior (46-60),High Income,Active (0-30d),Silver Spender,No Children,Together,Graduation,Established,Wines,776,0,Never Accepted,No Acceptance
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,36,2298,0,0,0,1,0,0,0,1,0,0,48,43,0,Middle-Aged (31-45),Low Income,Active (0-30d),Bronze Spender,Small Family (1 Kid),Together,Graduation,New Member,MeatProducts,53,0,Never Accepted,No Acceptance
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,39,2320,0,1,0,0,0,0,0,0,0,1,407,392,0,Middle-Aged (31-45),Medium Income,Inactive (>60d),Silver Spender,Small Family (1 Kid),Married,PhD,New Member,Wines,422,0,Never Accepted,No Acceptance
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,53,2452,0,0,0,1,0,0,0,0,1,0,702,688,0,Senior (46-60),Medium Income,Active (0-30d),Silver Spender,Small Family (1 Kid),Together,Master,Established,Wines,716,0,Never Accepted,No Acceptance
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,49,2752,1,0,0,0,0,0,0,1,0,0,563,536,0,Senior (46-60),Medium Income,At-Risk (31-60d),Silver Spender,Small Family (1 Kid),Divorced,Graduation,Long-term Member,Wines,590,0,Never Accepted,No Acceptance
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,35,2576,0,1,0,0,0,0,0,0,0,1,146,123,0,Middle-Aged (31-45),Low Income,At-Risk (31-60d),Silver Spender,Small Family (1 Kid),Married,PhD,Established,Wines,169,0,Never Accepted,No Acceptance
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,2547,0,0,0,1,0,0,0,0,0,1,44,42,0,Senior (46-60),Low Income,Active (0-30d),Bronze Spender,Small Family (1 Kid),Together,PhD,Established,MeatProducts,46,0,Never Accepted,No Acceptance
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,70,2267,0,0,0,1,0,0,0,0,0,1,36,23,1,Elderly (>60),Low Income,Inactive (>60d),Bronze Spender,Large Family (>1 Kid),Together,PhD,New Member,Wines,49,1,Occasional Responder,Campaign 3
